FirstName,LastName,SamAccountName,Department,JobTitle,Password,OU
Charles,Xavier,cxavier,X-Men,Professor X,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Scott,Summers,ssummers,X-Men,Cyclops,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Robert,Drake,rdrake,X-Men,Iceman,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Henry,McCoy,hmccoy,X-Men,Beast,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Jean,Grey,jgrey,X-Men,Phoenix,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Kurt,Wagner,kwagner,X-Men,Nightcrawler,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Logan,Howlett,lhowlett,X-Men,Wolverine,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Ororo,Munroe,omunroe,X-Men,Storm,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Piotr,Rasputin,prasputin,X-Men,Colossus,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Remy,LeBeau,rlebeau,X-Men,Gambit,QUtT7*yT%3Hc,"OU=X-Men,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
